timestamp,load
2025-06-15 02:55:00,88986.23
2025-06-15 03:00:00,88429.1953
2025-06-15 03:05:00,88110.99
2025-06-15 03:10:00,87551.69
2025-06-15 03:15:00,87462.37
2025-06-15 03:20:01,86838.11
2025-06-15 03:25:00,86546.38
2025-06-15 03:30:00,85993.9141
2025-06-15 03:35:00,85434.05
2025-06-15 03:40:00,85041.1953
2025-06-15 03:45:00,84490.39
2025-06-15 03:50:00,83832.97
2025-06-15 03:55:00,83661.93
2025-06-15 04:00:01,83014.96
2025-06-15 04:05:00,82762.78
2025-06-15 04:10:00,82697.61
2025-06-15 04:15:00,82103.85
2025-06-15 04:20:00,81618.8
2025-06-15 04:25:00,81336.8
2025-06-15 04:30:00,80870.57
2025-06-15 04:35:00,80635.41
2025-06-15 04:40:00,80189.77
2025-06-15 04:45:01,79886.67
2025-06-15 04:50:00,79452.02
2025-06-15 04:55:00,79111.34
2025-06-15 05:00:00,78998.3047
2025-06-15 05:05:00,78374.54
2025-06-15 05:10:00,78227.36
2025-06-15 05:15:00,77965.87
2025-06-15 05:20:00,77658.4844
2025-06-15 05:25:00,77693.66
2025-06-15 05:30:01,77288.6641
2025-06-15 05:35:00,76935.39
2025-06-15 05:40:00,76549.11
2025-06-15 05:45:00,76127.81
2025-06-15 05:50:00,76243.57
2025-06-15 05:55:00,75705.2656
2025-06-15 06:00:01,75528.65
2025-06-15 06:05:00,75475.2
2025-06-15 06:10:00,75429.67
2025-06-15 06:15:01,75193.5859
2025-06-15 06:20:00,74721.1641
2025-06-15 06:25:00,74520.6953
2025-06-15 06:30:00,74367.79
2025-06-15 06:35:00,74288.75
2025-06-15 06:40:00,73755.27
2025-06-15 06:45:00,73508.2656
2025-06-15 06:50:00,73437.65
2025-06-15 06:55:00,73451.7656
2025-06-15 07:00:00,73311.92
2025-06-15 07:05:00,73659.77
2025-06-15 07:10:00,73162.03
2025-06-15 07:15:00,73219.71
2025-06-15 07:20:01,73091.11
2025-06-15 07:25:00,72789.61
2025-06-15 07:30:00,72821.43
2025-06-15 07:35:00,72694.05
2025-06-15 07:40:00,72408.58
2025-06-15 07:45:00,71938.52
2025-06-15 07:50:00,71543.72
2025-06-15 07:55:00,71603.68
2025-06-15 08:00:00,71886.58
2025-06-15 08:05:00,71938.63
2025-06-15 08:10:00,71854.67
